"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
3263,"He would improvise a power cable in minutes.",0.25,0,0,1
3264,"My concentration was poor during this exchange.",-0.25,-1,-2,1
3265,"I kept looking at her, hallucinating a glow around her head and shoulders and thinking about the time when we would be alone, travelling the smooth and rising curve to ecstasy.",0.4,3,-2,3
3266,"Even as I was hobbled by a state of continuous sexual arousal, it excited me to be in the same room as a great man.",1.25,2,6,1
3267,"From pre-war meditations on the idea of a universal computing machine, to Bletchley in the early years of the war, to morphogenesis, to his glorious patrician present.",0.65,1,0,0
3268,"The greatest living Englishman, noble and free in his love for another man.",2.5,4,9,2
3269,"In his seniority, dressed with the flamboyance of a rock star, a genius painter, a knighted actor.",1.8,1,0,4
3270,"I could see him only if I turned rudely away from Miranda.",0,0,0,0
3271,"I resisted.",0,0,0,0
3272,"I distracted myself with the usual list, the buried suspicions, all we had not touched on--the Salisbury court case and the death threat being the most rank.",-2.45,-3,-6,-5
3273,"Where was my courage when I lacked the clarity to raise these subjects, when they tormented me while they remained unspoken?",-0.25,0,4,1
3274,"""you are not even listening.""",0,0,0,0
3275,"""I am, I am.",0,0,0,0
3276,"You said Adam's got a screw loose.""",-0.25,-1,-3,0
3277,"""I did not.",0,0,0,0
3278,"Idiot.",-1,-1,-3,-1
3279,"But happy birthday.""",1.55,1,3,2
3280,"We raised our glasses again.",0,0,0,0
3281,"The Medoc was bottled when Miranda was two years old and my father was moving out of swing into bebop.",0,0,0,0
3282,"The meal was a success, but the bill was a long time coming.",0.75,1,2,1
3283,"While we waited we decided on a parting cognac.",0,0,0,0
3284,"The drinks the waiter brought were double measures, on the house.",0,0,0,0
3285,"Miranda returned to the business of her father's illness.",-0.75,-1,-2,-1
3286,"The new diagnosis was lymphoma, of a slow-acting kind.",1.05,-1,2,0
3287,"He was likely to die with it rather than of it.",-0.75,-1,-3,-1
3288,"He had much else to die of.",-0.75,-1,-3,-1
3289,"But there was a pill he now took that made him cheerful and assertive--and even more of a handful.",0.5,1,2,2
3290,"Impossible projects filled his thoughts.",-0.5,-1,0,-1
3291,"He wanted to sell the Salisbury house and buy an apartment in New York, in the East Village, not the current one, she suspected, but the Village of his youth.",0.6,0,-1,1
3292,"On a rush of self-belief, he had signed a contract to deliver a coffee-table book on the folklore of British birds--a vast project that he could never hope to complete, even with a full-time researcher.",0.5,0,2,2
3293,"On a strange whim, given his views, he had joined a fringe political group dedicated to taking Britain out of the European Union.",0.35,0,1,0
3294,"He was up for election as treasurer at his London club, the Athenaeum.",0,0,0,0
3295,"Every day he phoned his daughter with new schemes.",1.4,0,0,1
3296,"Everything I heard made me gloomier about our proposed visit, but I said nothing.",0.4,0,0,1
3297,"At last we were done and we shrugged on our coats.",0,0,0,0
3298,"Miranda preceded me towards the door.",0,0,0,0
3299,"Our path between the tables would take us close to Turing's.",0,0,0,0
3300,"As we approached, I saw that apart from a bowl of nuts, hardly touched, the distinguished diners had eaten nothing.",0.6,1,-1,-1
3301,"They were here to talk and drink.",0.4,0,0,1
3302,"In an ice bucket was a half-bottle of Dutch genever, and on the table were ice cubes in a silver dish and two cut-glass tumblers.",0,0,-1,0
3303,"I was impressed.",0.5,1,3,0
3304,"Would I be so game at seventy?",0,0,0,0
3305,"Turing was facing me directly.",0,0,0,0
3306,"The years had lengthened his face, marking out the cheekbones, giving him a keen ferocious look.",-0.05,1,1,0
3307,"Many years later I thought I saw the ghost of Alan Turing in the figure of the painter Lucian Freud.",-0.6,0,-1,0
3308,"I crossed his path late one night as he came out of the Wolseley in Piccadilly.",-0.25,0,0,-1
3309,"Same lean fitness in early old age that seemed derived less from healthy living than from a hunger to keep on creating.",1.35,2,1,1
3310,"The decision was taken for me by the cognac.",0,0,0,0
3311,"I approached as millions before me had approached a famous presence in a public place, with outward humility masking the entitlement that genuine admiration confers.",2.9,4,2,7
3312,"Turing glanced up at me, then looked away.",0,0,0,0
3313,"Dealing with admirers was Reah's business.",0,0,0,0
3314,"I was not drunk enough to be unembarrassed and I stumbled over the formulaic opener.",-1.35,-1,-2,0
3315,"""Really sorry to intrude.",-1.3,-2,-1,0
3316,"I just wanted to express my profound gratitude to you both for your work.""",2,3,0,1
3317,"""that is very kind,"" Reah said.",0.5,0,2,1
3318,"""what is your name?""",0,0,0,0
3319,"""Charlie Friend.""",0.8,0,1,1
3320,"""Very nice to have met you, Charlie.""",0.5,1,3,0
3321,"The tense was clear.",0,0,-1,0
3322,"I came to my point.",0,0,0,0
3323,"""I read that you have one of these Adams or Eves.",0,0,0,0
3324,"I have got one too.",0,0,0,0
3325,"I wondered if you have experienced any sort of problem with .",-0.15,-1,-2,0
3326,"I trailed away because I had seen Reah look at Turing, who had firmly shaken his head.",0,0,0,0
3327,"I took out my card and put it on their table.",0,0,0,0
3328,"Neither man looked at it.",0,0,0,0
3329,"I retreated, muttering my foolish apologies.",-1.15,-2,-2,-1
3330,"Miranda was right beside me.",0.8,1,0,0
3331,"She took my hand and as we stepped out into Greek Street she gave a sympathetic squeeze.",1,0,2,1
3332,"""In her loving look, a whole universe contained.",0.75,1,2,1
3333,"Love the universe!""",0.75,1,3,1
3334,"This was the first of his poems that Adam recited to me.",0,0,0,0
3335,"He had come into my bedroom without knocking just after eleven one morning, while I was working at my screen, hoping to take advantage of volatility in the currency markets.",1.2,0,4,1
3336,"There was a square of sunlight on the carpet and he made a point of standing in it.",0,0,0,1
3337,"I noticed he was wearing one of my turtleneck sweaters.",0,0,0,0
3338,"He must have taken it from my drawer.",0,0,0,0
3339,"He told me he had a poem he urgently needed to recite.",0,0,0,0
3340,"I swivelled in my chair and waited.",0,0,0,0
3341,"When he finished I said unkindly, ""Short at least.""",-1,-1,0,0
3342,"He winced.",-1,0,0,0
3343,"""A haiku.""",0,0,0,0
3344,"Nineteen syllables.""",0,0,0,0
3345,"""Seventeen.",0,0,0,0
3346,"Five then seven then five again.",0,0,0,0
3347,"Here's another.""",0,0,0,0
3348,"He paused, looked towards the ceiling.",0,0,0,0
3349,"""Kiss the space where she trod from here to the window.",0.25,0,2,1
3350,"She made prints in time.""",0,0,0,0
3351,"I said, ""Spacetime?""",0,0,0,0
3352,"""Yes!""",0.8,0,1,0
3353,"""OK,"" I said.",0,0,0,0
3354,"""One more.",0,0,0,0
3355,"I have got to get on.""",0,0,0,0
3356,"""I have got hundreds.",0,0,0,0
3357,"But look .",0,0,0,0
3358,"He left his illuminated spot and came to my desk and put his hand over the mouse.",0,0,0,0
3359,"""These two rows of figures, do not you see?",0,0,0,0
3360,"Intersecting Fibonacci curves.",0,0,0,0
3361,"A high probability that if you buy here and wait.",-0.25,0,0,-1
3362,"now sell.",0,0,0,0
3363,"Look.",0,0,0,0
3364,"You made PS31.""",0,0,0,0
3365,"""Do that again.""",0,0,0,0
3366,"""Best to wait.""",0.25,1,3,-1
3367,"""Then do me one more haiku and leave.""",-0.25,0,-1,-1
3368,"He returned to his square of light.",0,0,0,0
3369,"""You and the moment Came when I touched your--""",0.25,0,0,-1
3370,"""I do not want to hear that.""",0,0,1,0
3371,"""I should not show it to her?""",0,0,0,0
3372,"I sighed and he moved away.",0,0,0,0
3373,"As he reached the door I added, ""Clean up the kitchen and bathroom, would you, please?",1.75,1,4,1
3374,"Difficult to do with one hand.""",-0.5,-1,-1,0
3375,"He nodded and went away.",0,0,0,0
3376,"A kind of peace or stability had settled over our household, despite the matter of Gorringe's release.",2.35,2,5,3
3377,"I was more relaxed.",0.5,1,2,0
3378,"Adam was spending no time alone with Miranda, while I was with her every night.",-0.6,0,-3,0
3379,"I was confident he would keep his promise.",1.55,2,3,2
3380,"He had told me several times that he was in love, and chaste love was fine by me.",2,3,5,1
3381,"He wrote poems in his thoughts and stored them there.",0,0,0,0
3382,"He wanted to talk to me about Miranda but I usually cut him off.",0.15,0,-1,1
3383,"I did not dare attempt to power him down and I had no particular need.",0,0,-1,0
3384,"The plan to get him back to the salesroom was set aside.",0,0,0,0
3385,"Love appeared to have softened him.",1.35,1,3,1
3386,"For reasons I did not understand, he was eager for my approval.",1.75,2,4,2
3387,"Guilt, perhaps.",-1,-1,-3,-1
3388,"He had fallen back into a routine of vague obedience.",-1,-2,-4,1
3389,"I remained cautious because of my wrist and I was watchful--but nothing of that showed.",0,0,-1,2
3390,"I reminded myself that he was still my experiment, my adventure.",0.5,0,2,1
3391,"It was not supposed to run smooth at every turn.",0.6,1,0,0
3392,"With Adam's love came intellectual exuberance.",2.05,2,3,3
3393,"He insisted on telling me his latest thoughts, his theories, his aphorisms, his latest reading.",0.1,0,0,1
3394,"He was putting himself through a course on quantum mechanics.",0,0,0,0
3395,"All night, while he charged up, he contemplated the mathematics and the basic texts.",0,0,-3,0
3396,"He read Schrodinger's Dublin lectures, What Is Life?, from which he concluded that he was alive.",0.5,0,1,1
3397,"He read the transcript of the celebrated 1927 Solvay conference, when the luminaries of physics met to discuss photons and electrons.",1,1,3,2
3398,"""It was said that at these early Solvay meetings there took place the most profound exchanges about nature in the history of ideas.""",1,1,0,0
3399,"I was at breakfast.",0.6,0,0,1
3400,"I told him I would once read that the elderly Einstein, while at Princeton in his final years, started each day with eggs fried in butter and that in Adam's honour, I was frying two now for myself.",0,-1,2,0
3401,"Adam said, ""People said he never grasped what he himself had started.",0,0,0,0
3402,"Solvay was a battlefield for him.",-0.6,0,0,-1
3403,"Outnumbered, poor fellow.",-0.1,-1,-4,1
3404,"By extraordinary young men.",1.15,1,0,2
3405,"But that was unfair.",-0.5,0,-2,-1
3406,"The young Turks were not concerned with what nature is, only with what one could say about it.",-0.2,-1,-2,1
3407,"Whereas Einstein thought there was no science without belief in an external world independent of the observer.",0,0,-1,0
3408,"He did not think quantum mechanics was wrong so much as incomplete.""",-1.35,-2,-3,-1
3409,"This after one night's study.",0.25,0,0,1
3410,"I remembered my hopeless brief entanglement with physics at college, before I found safety in anthropology.",-0.1,-2,-1,0
3411,"I suppose I was a little jealous, especially when I learned that Adam had got his mind round Dirac's equation.",-0.75,-1,-2,-1
3412,"I cited Richard Feynman's remark that anyone who claims to understand quantum theory does not understand quantum theory.",0,0,0,0
3413,"Adam shook his head.",0,0,0,0
3414,"""A bogus paradox, if it is even a paradox at all.",-1.15,-1,-1,-1
3415,"Tens of thousands understand it, millions make use of it.",0,0,0,0
3416,"it is a matter of time, Charlie.",0,0,1,0
3417,"General relativity was once at the outer edge of difficulty.",2.77555756156289e-17,-1,0,0
3418,"Now it is routine for first year undergraduates.",0,0,0,1
3419,"The same was true of the calculus.",0.5,0,2,1
3420,"Now fourteen-year-olds can do it.",0,0,0,0
3421,"One day quantum mechanics will pass into common sense.""",0,0,0,1
3422,"By this time I was eating my eggs.",0,0,0,0
3423,"Adam had made the coffee.",0,0,0,0
3424,"It was far too strong.",0.5,1,2,0
3425,"I said, ""OK. What about that Solvay question?",0,0,0,1
3426,"Is quantum mechanics a description of nature or just an effective way of predicting things?""",0.8,1,2,1
3427,"""I would have been on Einstein's side.",0,0,0,0
3428,"I do not understand the doubt about it,"" he said.",-0.75,-1,-1,-1
3429,"""Quantum mechanics makes predictions to such a fabulous degree of accuracy, it must be getting something right about nature.",1.05,2,4,1
3430,"To creatures of our immense size, the material world looks blurred and feels hard.",-0.25,-1,-1,0
3431,"But now we know how strange and wonderful it is.",0.25,0,3,1
